glot_fam,nrow
Austronesian,270
Atlantic-Congo,244
Sino-Tibetan,118
Indo-European,110
Afro-Asiatic,94
Austroasiatic,36
Mayan,32
Nakh-Daghestanian,31
Central_Sudanic,29
Nuclear_Trans_New_Guinea,29
Uto-Aztecan,25
Ijoid,24
Pama-Nyungan,23
Ainu,22
Otomanguean,20
Tai-Kadai,19
Nuclear_Torricelli,19
Nilotic,19
Mande,17
Arawakan,15
Timor-Alor-Pantar,15
Turkic,14
Tupian,12
Tucanoan,12
North_Halmahera,11
Uralic,10
Sko,10
Athabaskan-Eyak-Tlingit,9
Burushaski,9
Pano-Tacanan,8
Dravidian,8
Tuu,7
Sepik,7
Surmic,7
Salishan,7
Mongolic,7
Khoe-Kwadi,6
Chibchan,6
Hmong-Mien,6
Angan,6
Siouan,6
Nivkh,6
Tungusic,6
Japonic,6
Yanomamic,6
Nuclear-Macro-Je,5
Sentanic,5
Ta-Ne-Omotic,5
Kadugli-Krongo,5
Cariban,5
Chocoan,5
Aymaran,4
Songhay,4
Koiarian,4
Tarascan,4
Araucanian,4
Gumuz,3
Barbacoan,3
Muskogean,3
Senagi,3
Huitotoan,3
Maban,3
Cochimi-Yuman,3
Kuliak,3
Abkhaz-Adyge,3
Ndu,3
Anson_Bay,3
Tangkic,3
Mixe-Zoque,3
Totonacan,3
Peba-Yagua,3
Uru-Chipaya,3
Kxa,2
Bilua,2
South_Omotic,2
Eskimo-Aleut,2
Saharan,2
Fasu,2
Heibanic,2
Kunama,2
Quechuan,2
Chukotko-Kamchatkan,2
Yukaghir,2
Yeniseian,2
Bosavi,2
Iwaidjan_Proper,2
Matacoan,2
Chitimacha,2
Wakashan,2
Yokutsan,2
Huavean,2
Paez,2
Nadahup,2
East_Bird_s_Head,2
Border,1
Cayuvava,1
Dagan,1
South_Bougainville,1
Kaki_Ae,1
Lakes_Plain,1
Misumalpan,1
Goilalan,1
Turama-Kikori,1
Klamath-Modoc,1
Sandawe,1
Dogon,1
Gunwinyguan,1
Zaparoan,1
Tiwi,1
Chapacuran,1
Katla-Tima,1
Washo,1
Nyimang,1
Iroquoian,1
Kiwaian,1
Shabo,1
Duna,1
Tor-Orya,1
Jodi-Saliban,1
Kwomtari-Nai,1
Siamou,1
Kresh-Aja,1
Salinan,1
Lavukaleve,1
Savosavo,1
Mangarrayi-Maran,1
Western_Daly,1
Laal,1
Rashad,1
Eastern_Jebel,1
Chimariko,1
Dajuic,1
Nara,1
Temeinic,1
Furan,1
Maningrida,1
Guaicuruan,1
Abun,1
Basque,1
Pawaia,1
Koreanic,1
Kartvelian,1
Maybrat,1
Sulka,1
Kuot,1
Hatam-Mansim,1
Algic,1
Yareban,1
Yeli_Dnye,1
Anem,1
Mpur,1
Larrakiyan,1
Worrorran,1
Zuni,1
Alsea,1
Yuchi,1
Tunica,1
Atakapa,1
Takelma,1
Chimakuan,1
Maiduan,1
Tsimshian,1
Coosan,1
Pomoan,1
Seri,1
Karuk,1
Yuki-Wappo,1
Warao,1
Urarina,1
Kanoe,1
Guato,1
Unclassifiable_kzw,1
Mura-Piraha,1
Arawan,1
Chinookan,1
