taxon,VS-VO,VS-PN,VS-NG,VS-NA,VS-ND,VS-NNum,VS-NRc,VO-PN,VO-NG,VO-NA,VO-ND,VO-NNum,VO-NRc,PN-NG,PN-NA,PN-ND,PN-NNum,PN-NRc,NG-NA,NG-ND,NG-NNum,NG-NRc,NA-ND,NA-NNum,NA-NRc,ND-NNum,ND-NRc,NNum-NRc
NC.BANTOID.A53_BAFIA_RIKPA,-,-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.A72a_EWONDO,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
Sep.UPPER_SEPIK.ABAU,a,a,a,-,b,b,-,a,a,-,b,b,-,a,-,b,b,-,-,b,b,-,-,-,-,d,-,-
Sep.UPPER_SEPIK.ABAU_2,a,a,a,-,b,b,-,a,a,-,b,b,-,a,-,b,b,-,-,b,b,-,-,-,-,d,-,-
NWC.NORTHWEST_CAUCASIAN.ABKHAZ,a,a,a,b,a,-,b,a,a,b,a,-,b,a,b,a,-,b,b,a,-,b,c,-,d,-,b,-
TAP.GREATER_ALOR.ABUI,a,-,a,b,a,b,a,-,a,b,a,b,a,-,-,-,-,-,b,a,b,a,c,d,c,b,a,c
TAP.GREATER_ALOR.ABUI_ATIMELANG,a,-,a,b,a,b,a,-,a,b,a,b,a,-,-,-,-,-,b,a,b,a,c,d,c,b,a,c
TAP.GREATER_ALOR.ABUI_MAKADAI,a,-,a,b,a,b,a,-,a,b,a,b,a,-,-,-,-,-,b,a,b,a,c,d,c,b,a,c
TAP.GREATER_ALOR.ABUI_TAKALELANG,a,-,a,b,a,b,a,-,a,b,a,b,a,-,-,-,-,-,b,a,b,a,c,d,c,b,a,c
WP.NORTH_CENTRAL_BIRDS_HEAD.ABUN,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
An.MALAYO_SUMBAWAN.ACEH,-,-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
Arw.INLAND_NORTHERN_ARAWAKAN.ACHAGUA,b,a,a,b,-,-,a,c,c,d,-,-,c,a,b,-,-,a,b,-,-,a,-,-,c,-,-,-
ST.BURMESE_LOLO.ACHANG,a,a,a,-,b,b,b,a,a,-,b,b,b,a,-,b,b,b,-,b,b,b,-,-,-,d,d,d
ESu.NILOTIC.ACHOLI,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
ESu.NILOTIC.ACHOLI_2,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
TAP.GREATER_ALOR.ADANG,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
TAP.GREATER_ALOR.ADANG_PITUNG,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
NC.KWA.ADIOUKROU,b,a,a,b,b,b,a,c,c,d,d,d,c,a,b,b,b,a,b,b,b,a,d,d,c,d,c,c
An.OCEANIC.ADZERA,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
AA.LOWLAND_EAST_CUSHITIC.AFAR,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
AA.LOWLAND_EAST_CUSHITIC.AFAR_2,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
NC.BANTOID.AGHEM_ISU,b,-,b,b,b,b,-,-,d,d,d,d,-,-,-,-,-,-,d,d,d,-,d,d,-,d,-,-
NC.BANTOID.AGHEM_WEH,b,-,b,b,b,b,-,-,d,d,d,d,-,-,-,-,-,-,d,d,d,-,d,d,-,d,-,-
NC.BANTOID.AGHEM_WUM,b,-,b,b,b,b,-,-,d,d,d,d,-,-,-,-,-,-,d,d,d,-,d,d,-,d,-,-
CSu.MORU_MAADI.AGI,-,a,b,b,b,b,a,-,-,-,-,-,-,b,b,b,b,a,d,d,d,c,d,d,c,d,c,c
An.GREATER_CENTRAL_PHILIPPINE.AGTA,d,d,d,c,-,c,-,d,d,c,-,c,-,d,c,-,c,-,c,-,c,-,-,a,-,-,-,-
Ain.AINU.AINU_ASAHIKAWA,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_BIHORO,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_HIRATORI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_HOROBETSU,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_KUSHIRO,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_MAOKA,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_NAIRO,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_NAYORO,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_NIIKAPPU,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_NUKKIBETSU,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_OBIHIRO,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_OCHIHO,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_OSHAMAMBE,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_RAICHISHKA,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_SAMANI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_SARU,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_SHIRAURA,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_SOYA,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_TARANTOMARI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ain.AINU.AINU_YAKUMO,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
NC.KWA.AJAGBE,-,a,-,b,b,b,a,-,-,-,-,-,-,-,b,b,b,a,-,-,-,-,d,d,c,d,c,c
PN.CENTRAL_PAMA_NYUNGAN.AKARA,a,a,-,b,b,b,a,a,-,b,b,b,a,-,b,b,b,a,-,-,-,-,d,d,c,d,c,c
ST.BURMESE_LOLO.AKHA,a,a,a,b,b,b,b,a,a,b,b,b,b,a,b,b,b,b,b,b,b,b,d,d,d,d,d,d
NDa.NAKH.AKKIN_CHECHEN,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Sep.SEPIK_HILL.ALAMBLAK,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
NC.BANTOID.ALINGA,a,-,b,b,a,b,a,-,b,b,a,b,a,-,-,-,-,-,d,c,d,c,c,d,c,b,a,c
OC.ALSEA.ALSEA,d,d,c,c,c,c,-,d,c,c,c,c,-,c,c,c,c,-,a,a,a,-,a,a,-,a,-,-
An.CENTRAL_MALAYO_POLYNESIAN.ALUNE,b,b,a,b,b,b,-,d,c,d,d,d,-,c,d,d,d,-,b,b,b,-,d,d,-,d,-,-
PN.CENTRAL_PAMA_NYUNGAN.ALYAWARRA,a,a,b,b,b,b,a,a,b,b,b,b,a,b,b,b,b,a,d,d,d,c,d,d,c,d,c,c
PN.CENTRAL_PAMA_NYUNGAN.ALYAWARR_ALYAWARA,a,a,b,b,b,b,a,a,b,b,b,b,a,b,b,b,b,a,d,d,d,c,d,d,c,d,c,c
PN.CENTRAL_PAMA_NYUNGAN.ALYAWARR_MACDONALDDOWNS_ALYAWARA,a,a,b,b,b,b,a,a,b,b,b,b,a,b,b,b,b,a,d,d,d,c,d,d,c,d,c,c
An.OCEANIC.AMARA,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
An.OCEANIC.AMARI,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
ESu.NYIMANG.AMA_AFRICA,a,a,a,b,b,-,-,a,a,b,b,-,-,a,b,b,-,-,b,b,-,-,d,-,-,-,-,-
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.AMBAI,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
TNG.MADANG.AMELE,a,a,a,b,b,b,a,a,a,b,b,b,a,a,b,b,b,a,b,b,b,a,d,d,c,d,c,c
Sen.SENAGI.AMGOTRO,a,a,a,-,a,b,-,a,a,-,a,b,-,a,-,a,b,-,-,a,b,-,-,-,-,b,-,-
AA.SEMITIC.AMHARIC,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
AA.SEMITIC.AMHARIC_2,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
AA.SEMITIC.AMHARIC_3,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
