longname,glot_fam,Longitude,Latitude
NWC.NORTHWEST_CAUCASIAN.ABKHAZ,Abkhaz-Adyge,41.0,43.08
An.MALAYO_SUMBAWAN.ACEH,Austronesian,95.5,5.5
Arw.INLAND_NORTHERN_ARAWAKAN.ACHAGUA,Arawakan,-72.25,4.42
May.MAYAN.AGUACATEC,Mayan,-91.33,15.42
May.MAYAN.AGUACATECO_AGUACATAN,Mayan,-91.33,15.42
An.GREATER_CENTRAL_PHILIPPINE.AKLANON,Austronesian,122.33,11.58
Sep.SEPIK_HILL.ALAMBLAK,Sepik,143.33,-4.67
MM.ALAWA.ALAWA,Mangarrayi-Maran,134.25,-15.17
An.CENTRAL_MALAYO_POLYNESIAN.ALUNE,Austronesian,128.3,-3.0
PN.CENTRAL_PAMA_NYUNGAN.ALYAWARRA,Pama-Nyungan,135.0,-22.5
PN.CENTRAL_PAMA_NYUNGAN.ALYAWARR_ALYAWARA,Pama-Nyungan,135.0,-22.5
PN.CENTRAL_PAMA_NYUNGAN.ALYAWARR_MACDONALDDOWNS_ALYAWARA,Pama-Nyungan,135.0,-22.5
AA.SEMITIC.AMEDYA_ARAMAIC,Afro-Asiatic,43.5,37.1
TNG.MADANG.AMELE,Nuclear_Trans_New_Guinea,145.58,-5.25
MGe.GE_KAINGANG.APANIEKRA,Nuclear-Macro-Je,-45.0,-7.0
Arw.PURUS.APURINA,Arawakan,-67.0,-9.0
AA.SEMITIC.ARABIC_GULF_SPOKEN,Afro-Asiatic,49.0,26.0
AA.SEMITIC.ARABIC_LIBYAN_SPOKEN,Afro-Asiatic,22.0,32.0
AA.SEMITIC.ARABIC_NORTH_LEVANTINE_SPOKEN,Afro-Asiatic,36.0,33.75
An.SOUTH_SULAWESI.ARALLE,Austronesian,119.25,-2.75
Tac.TACANAN.ARAONA,Pano-Tacanan,-67.75,-12.33
NDa.LEZGIC.ARCHI,Nakh-Daghestanian,46.83,42.0
NDa.LEZGIC.ARCHI_2,Nakh-Daghestanian,46.83,42.0
An.OCEANIC.AROSI_TAWATANA,Austronesian,161.33,-10.25
PN.CENTRAL_PAMA_NYUNGAN.ARRARNTA_WESTERN,Pama-Nyungan,132.5,-24.0
